corvid::Value	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Null	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Bool	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Int	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Float	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Text	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Bytes	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Array	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Map	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::Value::Vector	WHERE	MAPPED	corvid::Value ctors + Value::map/array + Value::type()	golden:values.txt:VTYPE; raii:test_values
corvid::value::MAX_NESTING	Lifecycle	N/A	N/A	engine-internal nesting guard for the byte codec, not a binding API
corvid::Value::encode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::decode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::get	WHERE	MAPPED	corvid::Value::get()/at() (+ corvid::ValueView)	golden:values.txt:VNEST; raii:test_values
corvid::Value::get_path	WHERE	MAPPED	corvid::Value::get()/at() chains (+ corvid::ValueView)	golden:values.txt:VNEST; raii:test_values
corvid::Value::as_bool	WHERE	MAPPED	corvid::Value/ValueView as_bool/as_int/as_float/as_text/as_bytes/as_vector	golden:values.txt:VAS_*/V*_REF; raii:test_values
corvid::Value::as_int	WHERE	MAPPED	corvid::Value/ValueView as_bool/as_int/as_float/as_text/as_bytes/as_vector	golden:values.txt:VAS_*/V*_REF; raii:test_values
corvid::Value::as_float	WHERE	MAPPED	corvid::Value/ValueView as_bool/as_int/as_float/as_text/as_bytes/as_vector	golden:values.txt:VAS_*/V*_REF; raii:test_values
corvid::Value::as_text	WHERE	MAPPED	corvid::Value/ValueView as_bool/as_int/as_float/as_text/as_bytes/as_vector	golden:values.txt:VAS_*/V*_REF; raii:test_values
corvid::Value::as_bytes	WHERE	MAPPED	corvid::Value/ValueView as_bool/as_int/as_float/as_text/as_bytes/as_vector	golden:values.txt:VAS_*/V*_REF; raii:test_values
corvid::Value::as_vector	WHERE	MAPPED	corvid::Value/ValueView as_bool/as_int/as_float/as_text/as_bytes/as_vector	golden:values.txt:VAS_*/V*_REF; raii:test_values
corvid::CmpOp	WHERE	MAPPED	corvid::Cmp (pred::compare/eq/ne/lt/le/gt/ge)	golden:queries.txt:QF_*; raii:test_predicates_and_queries
corvid::CmpOp::Eq	WHERE	MAPPED	corvid::Cmp (pred::compare/eq/ne/lt/le/gt/ge)	golden:queries.txt:QF_*; raii:test_predicates_and_queries
corvid::CmpOp::Ne	WHERE	MAPPED	corvid::Cmp (pred::compare/eq/ne/lt/le/gt/ge)	golden:queries.txt:QF_*; raii:test_predicates_and_queries
corvid::CmpOp::Lt	WHERE	MAPPED	corvid::Cmp (pred::compare/eq/ne/lt/le/gt/ge)	golden:queries.txt:QF_*; raii:test_predicates_and_queries
corvid::CmpOp::Le	WHERE	MAPPED	corvid::Cmp (pred::compare/eq/ne/lt/le/gt/ge)	golden:queries.txt:QF_*; raii:test_predicates_and_queries
corvid::CmpOp::Gt	WHERE	MAPPED	corvid::Cmp (pred::compare/eq/ne/lt/le/gt/ge)	golden:queries.txt:QF_*; raii:test_predicates_and_queries
corvid::CmpOp::Ge	WHERE	MAPPED	corvid::Cmp (pred::compare/eq/ne/lt/le/gt/ge)	golden:queries.txt:QF_*; raii:test_predicates_and_queries
corvid::Predicate	WHERE	MAPPED	corvid::pred::* builder family (returns corvid::Predicate)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN; raii:test_predicates_and_queries
corvid::Predicate::Compare	WHERE	MAPPED	corvid::pred::* builder family (returns corvid::Predicate)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN; raii:test_predicates_and_queries
corvid::Predicate::Exists	WHERE	MAPPED	corvid::pred::* builder family (returns corvid::Predicate)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN; raii:test_predicates_and_queries
corvid::Predicate::In	WHERE	MAPPED	corvid::pred::* builder family (returns corvid::Predicate)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN; raii:test_predicates_and_queries
